PROPERTYADDRESS,PROPERTYCITY,PROPERTYZIP,MUNIDESC,SCHOOLDESC,NEIGHDESC,TAXDESC,OWNERDESC,CLASSDESC,USEDESC,LOTAREA,HOMESTEADFLAG,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALEDESC,PREVSALEDATE,PREVSALEPRICE,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLEDESC,STORIES,YEARBLT,EXTFINISH_DESC,ROOFDESC,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE
AMBERSON AVE,PITTSBURGH,15232,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,28764,HOM,,,12-28-1989,480000.0,VALID SALE,,,1017100,189700,1206800,0,1035100,189700,1224800,1035100,189700,1224800,OLD STYLE,2.0,1906.0,Brick,TILE,Full,X,EXCELLENT,7.0,VERY GOOD,VERY GOOD,10.0,5.0,5.0,1.0,Central Heat with AC,4.0,0.0
DEVONSHIRE ST,PITTSBURGH,15213,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,16558,HOM,,,02-16-1999,650550.0,OTHER,05-05-1950,0.0,648500,184700,833200,0,666500,184700,851200,666500,184700,851200,OLD STYLE,2.5,1890.0,Stone,SLATE,Full,X,EXCELLENT,3.0,AVERAGE,AVERAGE,11.0,5.0,3.0,1.0,Central Heat with AC,2.0,0.0
N NEVILLE ST,PITTSBURGH,15213,7th Ward - PITTSBURGH,City Of Pittsburgh,METROPOLITAN SAHDYSIDE,20 - Taxable,CORPORATION,RESIDENTIAL,CONDOMINIUM,2118,,,08-23-2012,08-23-2012,859718.0,SALE NOT ANALYZ,,,859718,0,859718,0,859718,0,859718,859718,0,859718,CONDO,1.0,2007.0,Brick,ROLL,None,X,EXCELLENT,1.0,EXCELLENT,EXCELLENT,5.0,2.0,2.0,1.0,Central Heat with AC,,
N NEVILLE ST,PITTSBURGH,15213,7th Ward - PITTSBURGH,City Of Pittsburgh,METROPOLITAN SAHDYSIDE,20 - Taxable,REGULAR,RESIDENTIAL,CONDO DEVELOPMENTAL LAND,0,,,12-06-2011,12-06-2011,835775.0,SALE NOT ANALYZ,,,835000,0,835000,0,835000,0,835000,835000,0,835000,CONDO,1.0,2007.0,Brick,ROLL,None,X,EXCELLENT,1.0,EXCELLENT,EXCELLENT,5.0,2.0,2.0,1.0,Central Heat with AC,,0.0
AMBERSON AVE,PITTSBURGH,15232,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,15150,,,09-24-2003,09-24-2003,1181725.0,OTHER,03-01-1990,646000.0,848400,184200,1032600,0,848400,184200,1032600,848400,184200,1032600,OLD STYLE,2.0,1900.0,Stucco,SLATE,Full,X,EXCELLENT,7.0,VERY GOOD,VERY GOOD,11.0,5.0,4.0,2.0,Central Heat with AC,0.0,0.0
CASTLEMAN ST,PITTSBURGH,15232,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,4284,,,07-01-2016,06-27-2016,958000.0,OTHER INVALID,06-30-2008,850000.0,372700,167100,539800,0,372700,167100,539800,372700,167100,539800,OLD STYLE,2.0,1900.0,Stone,SLATE,Full,A,VERY GOOD,7.0,VERY GOOD,VERY GOOD,7.0,3.0,2.0,0.0,Central Heat with AC,2.0,0.0
AMBERSON AVE,PITTSBURGH,15232,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,25507,HOM,,12-31-2012,12-31-2012,1.0,LOVE&AFFECTION,02-20-1969,87000.0,847000,315000,1162000,0,865000,315000,1180000,865000,315000,1180000,OLD STYLE,2.0,1900.0,Brick,SLATE,Full,X,EXCELLENT,7.0,VERY GOOD,VERY GOOD,13.0,6.0,3.0,1.0,Central Heat with AC,1.0,3.0
WESTMINSTER PL,PITTSBURGH,15232,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,23629,,,12-30-2014,12-22-2014,3306550.0,DATE OF TRANSFER,01-21-2009,1.0,1460000,540000,2000000,0,1460000,540000,2000000,1460000,540000,2000000,COLONIAL,2.5,1920.0,Brick,SLATE,Full,X,EXCELLENT,2.0,GOOD,GOOD,15.0,7.0,4.0,1.0,Central Heat with AC,4.0,0.0
WESTMINSTER PL,PITTSBURGH,15232,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,14637,HOM,,03-04-2009,03-04-2009,912086.0,VALID SALE,08-14-1990,607500.0,752500,184000,936500,0,770500,184000,954500,770500,184000,954500,COLONIAL,2.5,1929.0,Brick,SLATE,Full,X,EXCELLENT,2.0,GOOD,GOOD,11.0,4.0,4.0,2.0,Central Heat with AC,1.0,0.0
PEMBROKE PL,PITTSBURGH,15232,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,12987,HOM,,,07-06-1977,172500.0,VALID SALE,,,652500,183300,835800,0,670500,183300,853800,670500,183300,853800,COLONIAL,2.5,1910.0,Brick,SLATE,Full,X,EXCELLENT,2.0,GOOD,GOOD,10.0,5.0,3.0,1.0,Central Heat with AC,4.0,2.0
HAILMAN ST,PITTSBURGH,15206,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1038,HOM,,12-23-2009,12-23-2009,228500.0,VALID SALE,12-04-2007,185000.0,89700,120800,210500,0,107700,120800,228500,107700,120800,228500,CONTEMPORARY,2.0,1980.0,Stucco,SHINGLE,None,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,4.0,2.0,1.0,1.0,Central Heat,1.0,0.0
WALNUT ST,PITTSBURGH,15206,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,FOUR FAMILY,5227,,,03-28-2012,03-28-2012,0.0,LOVE&AFFECTION,10-22-1948,0.0,139900,200100,340000,0,139900,200100,340000,139900,200100,340000,MULTI-FAMILY,2.5,1900.0,Brick,SHINGLE,Full,B-,GOOD -,3.0,AVERAGE,AVERAGE,24.0,8.0,6.0,0.0,Central Heat,0.0,0.0
S HIGHLAND AVE,PITTSBURGH,15206,7th Ward - PITTSBURGH,City Of Pittsburgh,HIGHWOOD,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,CONDOMINIUM,0,HOM,,05-03-2013,05-03-2013,118000.0,VALID SALE,08-27-2007,126700.0,95900,0,95900,0,113900,0,113900,113900,0,113900,CONDO HR,1.0,1935.0,Brick,ROLL,None,C,AVERAGE,3.0,AVERAGE,AVERAGE,3.0,1.0,1.0,0.0,Central Heat,0.0,0.0
WALNUT ST,PITTSBURGH,15206,7th Ward - PITTSBURGH,City Of Pittsburgh,PRE-WAR - MUNI 107,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,HOM,,,12-17-2001,205000.0,VALID SALE,04-03-2000,144000.0,181500,0,181500,0,199500,0,199500,199500,0,199500,CONDO CONV,1.0,1898.0,Stucco,ROLL,None,C+,AVERAGE +,2.0,GOOD,GOOD,5.0,2.0,2.0,1.0,Central Heat,0.0,0.0
S PACIFIC AVE,PITTSBURGH,15224,8th Ward - PITTSBURGH,City Of Pittsburgh,10802,20 - Taxable,REGULAR,RESIDENTIAL,TWO FAMILY,6650,,,01-16-2014,01-16-2014,1.0,LOVE&AFFECTION,10-12-2001,100000.0,162200,70300,232500,0,162200,70300,232500,162200,70300,232500,MULTI-FAMILY,2.5,1920.0,Brick,SHINGLE,Full,B-,GOOD -,4.0,FAIR,AVERAGE,10.0,5.0,2.0,0.0,Central Heat,2.0,0.0
ROUP AVE,PITTSBURGH,15206,8th Ward - PITTSBURGH,City Of Pittsburgh,10802,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TWO FAMILY,5412,HOM,,,09-19-1991,51500.0,VALID SALE,,,135900,70100,206000,0,153900,70100,224000,153900,70100,224000,MULTI-FAMILY,2.5,1895.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,11.0,4.0,2.0,0.0,Central Heat,0.0,0.0
HARRIETT ST,PITTSBURGH,15224,8th Ward - PITTSBURGH,City Of Pittsburgh,10802,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1949,HOM,,08-24-2015,08-14-2015,0.0,LOVE&AFFECTION,02-23-2009,1.0,104400,48600,153000,0,122400,48600,171000,122400,48600,171000,OLD STYLE,3.0,1909.0,Brick,RUBBER,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,9.0,6.0,2.0,,Central Heat with AC,0.0,0.0
MOREWOOD AVE,PITTSBURGH,15213,8th Ward - PITTSBURGH,City Of Pittsburgh,10802,20 - Taxable,REGULAR,RESIDENTIAL,TOWNHOUSE,1778,,,05-27-2015,05-21-2015,341500.0,VALID SALE,12-09-2010,251000.0,195700,47500,243200,0,195700,47500,243200,195700,47500,243200,TOWNHOUSE,2.0,1999.0,Frame,SHINGLE,Full,B+,GOOD +,2.0,GOOD,GOOD,5.0,3.0,2.0,1.0,Central Heat with AC,0.0,2.0
44TH ST,PITTSBURGH,15201,9th Ward - PITTSBURGH,City Of Pittsburgh,10902,20 - Taxable,REGULAR,RESIDENTIAL,TWO FAMILY,2200,,,11-20-2006,11-20-2006,70000.0,VALID SALE,06-07-2000,0.0,69800,28800,98600,0,69800,28800,98600,69800,28800,98600,MULTI-FAMILY,2.0,1900.0,Brick,ROLL,Full,C-,AVERAGE -,4.0,FAIR,FAIR,10.0,4.0,2.0,0.0,Central Heat with AC,0.0,0.0
PEARL ST,PITTSBURGH,15224,9th Ward - PITTSBURGH,City Of Pittsburgh,10902,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TWO FAMILY,3200,,,07-01-2011,07-01-2011,40000.0,OTHER,06-17-1968,0.0,92700,32800,125500,0,92700,32800,125500,92700,32800,125500,MULTI-FAMILY,2.0,1905.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,3.0,AVERAGE,AVERAGE,4.0,2.0,1.0,1.0,Central Heat with AC,0.0,0.0
WASHINGTON PL,PITTSBURGH,15219,3rd Ward - PITTSBURGH,City Of Pittsburgh,TOWER AT CHATHAM,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,,,,03-28-1995,36000.0,VALID SALE,,,115000,0,115000,0,115000,0,115000,115000,0,115000,CONDO HR,1.0,1967.0,Concrete,ROLL,None,C,AVERAGE,3.0,AVERAGE,AVERAGE,4.0,1.0,1.0,1.0,Central Heat with AC,0.0,0.0
BUTLER ST,PITTSBURGH,15201,9th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,VACANT COMMERCIAL LAND,5348,,,08-19-2013,08-19-2013,650000.0,MULTI-PARCEL SA,04-02-2003,222100.0,0,42800,42800,0,0,42800,42800,0,42800,42800,,,,,,,,,,,,,,,,,,
45TH ST,PITTSBURGH,15201,9th Ward - PITTSBURGH,City Of Pittsburgh,10902,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,ROWHOUSE,1176,HOM,,06-17-2016,06-17-2016,226000.0,OTHER INVALID,08-26-2009,124000.0,48400,14700,63100,0,66400,14700,81100,66400,14700,81100,ROW END,3.0,1910.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,2.0,GOOD,GOOD,7.0,3.0,1.0,1.0,Central Heat,0.0,0.0
ROSETTA ST,PITTSBURGH,15224,10th Ward - PITTSBURGH,City Of Pittsburgh,11003,10 - Exempt,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,2500,,,,12-30-1948,0.0,LOVE&AFFECTION,,,0,1000,1000,0,0,1000,1000,0,1000,1000,,,,,,,,,,,,,,,,,,
N MATHILDA ST,PITTSBURGH,15224,10th Ward - PITTSBURGH,City Of Pittsburgh,11003,20 - Taxable,CORPORATION,RESIDENTIAL,SINGLE FAMILY,1940,,,11-18-2014,11-13-2014,72900.0,CORP TRANSFER,11-18-1997,9800.0,37300,24300,61600,0,37300,24300,61600,37300,24300,61600,OLD STYLE,2.0,1895.0,Frame,SHINGLE,Full,C-,AVERAGE -,4.0,FAIR,FAIR,8.0,4.0,1.0,0.0,Central Heat,0.0,0.0
COLUMBO ST,PITTSBURGH,15224,10th Ward - PITTSBURGH,City Of Pittsburgh,11003,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,3498,HOM,,09-26-2011,09-26-2011,28000.0,SALE NOT ANALYZ,05-28-1986,23000.0,0,10000,10000,0,14000,14000,28000,14000,14000,28000,OLD STYLE,2.0,1935.0,Frame,SHINGLE,Full,C-,AVERAGE -,4.0,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
HILLCREST ST,PITTSBURGH,15224,10th Ward - PITTSBURGH,City Of Pittsburgh,11003,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,4000,HOM,,,07-26-1971,1.0,LOVE&AFFECTION,,,13500,31500,45000,0,31500,31500,63000,31500,31500,63000,OLD STYLE,2.0,1910.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
ROSETTA ST,PITTSBURGH,15224,10th Ward - PITTSBURGH,City Of Pittsburgh,11003,10 - Exempt,CORPORATION,RESIDENTIAL,SINGLE FAMILY,4400,,,11-27-2012,11-27-2012,18618.0,CITY TREASURER,06-18-1984,1.0,27700,32900,60600,0,27700,32900,60600,27700,32900,60600,OLD STYLE,2.0,1910.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
N WINEBIDDLE ST,PITTSBURGH,15224,10th Ward - PITTSBURGH,City Of Pittsburgh,11003,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,3525,HOM,,01-26-2007,01-26-2007,1.0,LOVE&AFFECTION,09-28-1987,43000.0,53900,17600,71500,0,71900,17600,89500,71900,17600,89500,SEMI DETACHED,3.0,1920.0,Brick,SHINGLE,Full,C,AVERAGE,4.0,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,1.0,0.0
CARNEGIE ST,PITTSBURGH,15201,10th Ward - PITTSBURGH,City Of Pittsburgh,11003,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2092,,,10-05-2012,10-05-2012,1.0,OTHER INVALID,02-16-2010,10322.0,118200,24800,143000,0,118200,24800,143000,118200,24800,143000,OLD STYLE,3.0,1900.0,Brick,ROLL,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,15.0,6.0,2.0,0.0,Central Heat,0.0,0.0
STANTON AVE,PITTSBURGH,15201,10th Ward - PITTSBURGH,City Of Pittsburgh,11003,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,6000,HOM,,,07-10-1996,63000.0,VALID SALE,,,91600,35100,126700,0,109600,35100,144700,109600,35100,144700,COLONIAL,2.0,1947.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat,1.0,1.0
COLERIDGE ST,PITTSBURGH,15201,10th Ward - PITTSBURGH,City Of Pittsburgh,11002,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,2500,,,05-12-2005,05-12-2005,22000.0,MULTI-PARCEL SA,03-13-1980,0.0,0,900,900,0,0,900,900,0,900,900,,,,,,,,,,,,,,,,,,
BRINTELL ST,PITTSBURGH,15201,10th Ward - PITTSBURGH,City Of Pittsburgh,11002,10 - Exempt,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,1535,,,,06-06-1968,0.0,LOVE&AFFECTION,,,0,600,600,0,0,600,600,0,600,600,,,,,,,,,,,,,,,,,,
ORANMORE ST,PITTSBURGH,15201,10th Ward - PITTSBURGH,City Of Pittsburgh,11002,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,7913,,,,01-31-1992,27500.0,VALID SALE,,,55600,12000,67600,0,55600,12000,67600,55600,12000,67600,SEMI DETACHED,2.0,1955.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat with AC,0.0,1.0
ADELPHIA ST,PITTSBURGH,15206,10th Ward - PITTSBURGH,City Of Pittsburgh,11001,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,3000,HOM,,,09-01-1994,61000.0,VALID SALE,,,57600,36000,93600,0,75600,36000,111600,75600,36000,111600,CONVENTIONAL,2.0,1955.0,Brick,SHINGLE,Full,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,3.0,2.0,1.0,Central Heat with AC,0.0,1.0
MORNINGSIDE AVE,PITTSBURGH,15206,10th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,OFFICE/APARTMENTS OVER,12600,,,02-14-2003,02-14-2003,330000.0,MULTI-PARCEL SA,,,143000,44500,187500,0,143000,44500,187500,143000,44500,187500,,,,,,,,,,,,,,,,,,
BEVERLY PL,PITTSBURGH,15206,11th Ward - PITTSBURGH,City Of Pittsburgh,11102,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,5839,HOM,,,05-17-2001,182000.0,OTHER VALID,12-31-1986,75000.0,138400,65100,203500,0,156400,65100,221500,156400,65100,221500,OLD STYLE,2.0,1920.0,Brick,SLATE,Full,B-,GOOD -,3.0,AVERAGE,GOOD,7.0,3.0,3.0,1.0,Central Heat,1.0,0.0
N SHERIDAN AVE,PITTSBURGH,15206,11th Ward - PITTSBURGH,City Of Pittsburgh,11103,20 - Taxable,CORPORATION,RESIDENTIAL,VACANT LAND,4035,,,,09-14-1995,1000.0,VALID SALE,,,0,1600,1600,0,0,1600,1600,0,1600,1600,,,,,,,,,,,,,,,,,,
NAVARRO ST,PITTSBURGH,15206,12th Ward - PITTSBURGH,City Of Pittsburgh,11202,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,ROWHOUSE,1320,,,03-28-2011,03-28-2011,1.0,LOVE&AFFECTION,02-18-1993,15810.0,13200,1500,14700,0,13200,1500,14700,13200,1500,14700,ROW INTERIOR,2.0,1930.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,4.0,2.0,1.0,0.0,Central Heat,0.0,0.0
ODESSA PL,PITTSBURGH,15206,12th Ward - PITTSBURGH,City Of Pittsburgh,11202,20 - Taxable,CORPORATION,RESIDENTIAL,SINGLE FAMILY,760,,,11-10-2015,01-01-2015,12000.0,QUIT CLAIM / SPEC WARRNTY,10-05-2009,1.0,14000,2300,16300,0,14000,2300,16300,14000,2300,16300,OLD STYLE,2.0,1900.0,Frame,SHINGLE,Full,C-,AVERAGE -,4.0,FAIR,FAIR,4.0,2.0,1.0,0.0,Central Heat,0.0,0.0
APPLE AVE,PITTSBURGH,15206,12th Ward - PITTSBURGH,City Of Pittsburgh,11202,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,3025,HOM,,,05-29-1974,9900.0,VALID SALE,,,2900,3200,6100,0,20900,3200,24100,20900,3200,24100,OLD STYLE,2.0,1900.0,Frame,SHINGLE,Full,C-,AVERAGE -,4.0,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
SHETLAND AVE,PITTSBURGH,15206,12th Ward - PITTSBURGH,City Of Pittsburgh,11203,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,VACANT LAND,1304,,,,07-13-1983,5200.0,OTHER INVALID,,,0,700,700,0,0,700,700,0,700,700,,,,,,,,,,,,,,,,,,
CHURCHLAND ST,PITTSBURGH,15206,12th Ward - PITTSBURGH,City Of Pittsburgh,11202,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2750,HOM,,,07-23-2001,48950.0,OTHER VALID,01-09-1969,11900.0,25500,3100,28600,0,43500,3100,46600,43500,3100,46600,OLD STYLE,2.0,1930.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,1.0,Central Heat,0.0,0.0
KEDRON ST,PITTSBURGH,15208,12th Ward - PITTSBURGH,City Of Pittsburgh,11202,10 - Exempt,CORPORATION,RESIDENTIAL,VACANT LAND,1898,,,01-11-2012,01-11-2012,1688.0,CITY TREASURER,07-28-1986,1.0,0,500,500,0,0,500,500,0,500,500,,,,,,,,,,,,,,,,,,
VERONA BLVD,PITTSBURGH,15235,12th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,10 - Exempt,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,2400,,,,03-01-1913,0.0,LOVE&AFFECTION,,,0,200,200,0,0,200,200,0,200,200,,,,,,,,,,,,,,,,,,
BAKERY SQUARE BLVD,PITTSBURGH,15206,12th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,CONDOMINIUM UNIT,0,,,12-08-2008,12-08-2008,1.0,OTHER INVALID,,,8103400,0,8103400,0,8103400,0,8103400,8103400,0,8103400,,,,,,,,,,,,,,,,,,
FREEPORT RD,PITTSBURGH,15215,12th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH UTILITY ROWS,12 - Public Utility Realty Tax - PURTA,CORPORATION-RAILROAD,UTILITIES,R.R. - USED IN OPERATION,179249,,,,05-05-1950,0.0,LOVE&AFFECTION,,,0,8200,8200,0,0,8200,8200,0,8200,8200,,,,,,,,,,,,,,,,,,
WESTMORELAND AVE,PITTSBURGH,15206,12th Ward - PITTSBURGH,City Of Pittsburgh,11202,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,3500,,,,09-24-2002,20000.0,MULTI-PARCEL SA,05-11-1990,0.0,0,1400,1400,0,0,1400,1400,0,1400,1400,,,,,,,,,,,,,,,,,,
FRANKSTOWN AVE,PITTSBURGH,15208,13th Ward - PITTSBURGH,City Of Pittsburgh,11303,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,3375,,,11-04-2014,09-25-2014,16500.0,QUIT CLAIM / SPEC WARRNTY,11-18-2008,3500.0,13100,3400,16500,0,13100,3400,16500,13100,3400,16500,OLD STYLE,2.0,1920.0,Frame,SHINGLE,Full,D-,BELOW AVERAGE -,4.0,FAIR,FAIR,3.0,1.0,1.0,0.0,Central Heat with AC,0.0,0.0
GROTTO ST,PITTSBURGH,15206,12th Ward - PITTSBURGH,City Of Pittsburgh,11202,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2912,,,,02-03-1993,10000.0,VALID SALE,,,13200,3200,16400,0,13200,3200,16400,13200,3200,16400,OLD STYLE,2.0,1922.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,4.0,FAIR,FAIR,4.0,2.0,1.0,0.0,Central Heat,0.0,0.0
KEDRON ST,PITTSBURGH,15208,13th Ward - PITTSBURGH,City Of Pittsburgh,11303,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2325,,,,01-23-1969,0.0,NOT APPLICABLE,,,34200,2900,37100,0,34200,2900,37100,34200,2900,37100,OLD STYLE,2.5,1925.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,AVERAGE,7.0,4.0,1.0,1.0,Central Heat,0.0,0.0
MOUNT VERNON ST,PITTSBURGH,15208,13th Ward - PITTSBURGH,City Of Pittsburgh,11303,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2325,,,06-22-2007,06-22-2007,0.0,LOVE&AFFECTION,10-07-1996,27000.0,20600,2900,23500,0,20600,2900,23500,20600,2900,23500,OLD STYLE,1.8,1890.0,Masonry FRAME,SHINGLE,Full,C-,AVERAGE -,4.0,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
KELLY ST,PITTSBURGH,15208,13th Ward - PITTSBURGH,City Of Pittsburgh,11303,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,1035,,,,05-01-1984,1.0,LOVE&AFFECTION,,,25600,2400,28000,0,25600,2400,28000,25600,2400,28000,OLD STYLE,3.0,1930.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,10.0,4.0,1.0,1.0,Central Heat,0.0,0.0
SUSQUEHANNA ST,PITTSBURGH,15208,13th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,VACANT COMMERCIAL LAND,1696,,,09-22-2015,09-22-2015,1723.0,GOVT SALE,02-23-1998,450.0,0,11100,11100,0,0,11100,11100,0,11100,11100,,,,,,,,,,,,,,,,,,
ROSEDALE ST,PITTSBURGH,15208,13th Ward - PITTSBURGH,City Of Pittsburgh,11303,10 - Exempt,CORPORATION,RESIDENTIAL,VACANT LAND,2522,,,11-28-2012,11-28-2012,19617.0,CITY TREASURER,04-14-1977,0.0,0,3000,3000,0,0,3000,3000,0,3000,3000,,,,,,,,,,,,,,,,,,
OAKWOOD ST,PITTSBURGH,15208,13th Ward - PITTSBURGH,City Of Pittsburgh,11303,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,6469,,,,05-04-1978,4500.0,OTHER,,,0,4100,4100,0,0,4100,4100,0,4100,4100,,,,,,,,,,,,,,,,,,
PERSHING ST,PITTSBURGH,15235,13th Ward - PITTSBURGH,City Of Pittsburgh,11303,20 - Taxable,REGULAR,RESIDENTIAL,TWO FAMILY,9200,,,11-30-2005,11-30-2005,9900.0,VALID SALE,09-01-2005,2761.0,33200,4400,37600,0,33200,4400,37600,33200,4400,37600,MULTI-FAMILY,2.0,1935.0,Frame,SHINGLE,Full,C+,AVERAGE +,8.0,VERY POOR,FAIR,8.0,4.0,2.0,0.0,Central Heat,0.0,0.0
FRANKSTOWN AVE,PITTSBURGH,15235,13th Ward - PITTSBURGH,City Of Pittsburgh,11303,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,9097,,,,08-10-1987,43800.0,OTHER INVALID,,,17600,2600,20200,0,17600,2600,20200,17600,2600,20200,SEMI DETACHED,1.0,1930.0,Stucco,SHINGLE,Full,C-,AVERAGE -,4.0,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
TOKAY ST,PITTSBURGH,15221,13th Ward - PITTSBURGH,City Of Pittsburgh,11303,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,2500,,,,09-20-1983,1.0,LOVE&AFFECTION,,,0,600,600,0,0,600,600,0,600,600,,,,,,,,,,,,,,,,,,
